,0,1,2
0,10.0,0.0,0.0
1,9.999500004166661,-0.09999833333685143,-0.009800000000826023
2,9.998000064762872,-0.19998666691900127,-0.019600000000826047
3,9.995500331775508,-0.29995500197254044,-0.02940000000082607
4,9.992001055170007,-0.3998933417281542,-0.039200000000826095
5,9.987502584865325,-0.499791692415974,-0.04900000000082612
6,9.982005370698934,-0.5996400642649474,-0.05880000000082614
7,9.975509962381834,-0.6994284725018058,-0.06860000000082617
8,9.968017009443576,-0.7991469383495333,-0.0784000000008262
9,9.959527261167308,-0.8987854900252354,-0.08820000000082623
10,9.950041566514836,-0.9983341637373098,-0.09800000000082626
11,9.93956087404173,-1.0977830046818151,-0.10780000000082629
